,상호명,상권업종소분류코드,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,위도,경도
389,바른치킨,Q05A08,후라이드/양념치킨,서울특별시,강남구,대치4동,대치동,서울특별시 강남구 선릉로86길 17,37.5035560451156,127.051054283867
455,코리안바베큐,Q05A08,후라이드/양념치킨,서울특별시,은평구,녹번동,녹번동,서울특별시 은평구 은평로 213,37.6014235647028,126.93142225635
467,치킨호프,Q05A08,후라이드/양념치킨,서울특별시,용산구,원효로2동,원효로3가,서울특별시 용산구 원효로 129,37.533880340132605,126.95747125158199
488,깐부치킨,Q05A08,후라이드/양념치킨,서울특별시,은평구,진관동,진관동,서울특별시 은평구 진관4로 100,37.649797276124794,126.9331319283
604,BHC치킨,Q05A08,후라이드/양념치킨,서울특별시,양천구,신정6동,신정동,서울특별시 양천구 목동서로 291,37.5216639285912,126.86951502485901
656,교촌치킨,Q05A08,후라이드/양념치킨,서울특별시,중랑구,망우본동,망우동,서울특별시 중랑구 망우로 478-1,37.600392773489496,127.10540779829701
668,뺑덕어멈,Q05A08,후라이드/양념치킨,서울특별시,구로구,개봉2동,개봉동,서울특별시 구로구 개봉로20길 109,37.49271441194529,126.860237676735
753,치킨마루,Q05A08,후라이드/양념치킨,서울특별시,관악구,신원동,신림동,서울특별시 관악구 신원로 9,37.4803261708453,126.927733369023
770,플라토어학학원,Q05A08,후라이드/양념치킨,서울특별시,서대문구,홍은2동,홍은동,서울특별시 서대문구 연희로 286,37.582583166292,126.93643552289801
789,금강치킨,Q05A08,후라이드/양념치킨,서울특별시,구로구,오류2동,오류동,서울특별시 구로구 경인로 22,37.4893436775587,126.825200825021
992,가마로강정등촌역,Q05A08,후라이드/양념치킨,서울특별시,양천구,목3동,목동,서울특별시 양천구 목동중앙북로 7,37.549016107368104,126.86447345123501
1147,나폴리피자치킨,Q05A08,후라이드/양념치킨,서울특별시,광진구,중곡4동,중곡동,서울특별시 광진구 자양로43길 57,37.5531314119111,127.08990195705499
1262,굿앤닭,Q05A08,후라이드/양념치킨,서울특별시,동대문구,장안2동,장안동,서울특별시 동대문구 한천로 148,37.57414713954,127.06723102837
1293,강정이기가막혀,Q05A08,후라이드/양념치킨,서울특별시,종로구,청운효자동,통인동,서울특별시 종로구 자하문로 35-2,37.5792148108203,126.97117246213999
1448,페리카나신길2점,Q05A08,후라이드/양념치킨,서울특별시,영등포구,신길1동,신길동,서울특별시 영등포구 영등포로86길 12,37.5120276886766,126.92307219232
1492,대흥페리카나,Q05A08,후라이드/양념치킨,서울특별시,마포구,염리동,염리동,서울특별시 마포구 숭문16길 10,37.555736653313495,126.946980696991
1550,BBQ참숯바베큐,Q05A08,후라이드/양념치킨,서울특별시,은평구,진관동,진관동,서울특별시 은평구 진관4로 78-8,37.6459399029163,126.928053897842
1569,호식이두마리치킨성내점,Q05A08,후라이드/양념치킨,서울특별시,강동구,성내3동,성내동,서울특별시 강동구 성안로 46,37.527751338232896,127.130917571567
1761,돌핀스양념통닭,Q05A08,후라이드/양념치킨,서울특별시,구로구,가리봉동,가리봉동,서울특별시 구로구 디지털로27길 89,37.48427631621829,126.889108423932
1809,치킨푸드,Q05A08,후라이드/양념치킨,서울특별시,강북구,삼양동,미아동,서울특별시 강북구 인수봉로 55,37.624806690357296,127.012233017411
1893,치킨클럽,Q05A08,후라이드/양념치킨,서울특별시,강남구,대치1동,대치동,서울특별시 강남구 남부순환로 2907,37.491953639594605,127.05708145232799
1920,네네치킨,Q05A08,후라이드/양념치킨,서울특별시,도봉구,방학1동,방학동,서울특별시 도봉구 도당로 115,37.6672067844889,127.039203833379
